"","Season","Team","Round.Number","Season.Points","Score.For","Score.Against","Percentage","Ladder.Position"
"1",2017,"Adelaide",1,4,147,91,1.61538461538462,1
"2",2017,"Geelong",1,4,115,73,1.57534246575342,2
"3",2017,"Richmond",1,4,132,89,1.48314606741573,3
"4",2017,"West Coast",1,4,136,93,1.46236559139785,4
"5",2017,"Port Adelaide",1,4,110,82,1.34146341463415,5
"6",2017,"Melbourne",1,4,120,90,1.33333333333333,6
"7",2017,"Essendon",1,4,116,91,1.27472527472527,7
"8",2017,"Footscray",1,4,100,86,1.16279069767442,8
"9",2017,"Brisbane Lions",1,4,98,96,1.02083333333333,9
"10",2017,"Gold Coast",1,0,96,98,0.979591836734694,10
"11",2017,"Collingwood",1,0,86,100,0.86,11
"12",2017,"Hawthorn",1,0,91,116,0.78448275862069,12
"13",2017,"St Kilda",1,0,90,120,0.75,13
"14",2017,"Sydney",1,0,82,110,0.745454545454545,14
"15",2017,"North Melbourne",1,0,93,136,0.683823529411765,15
"16",2017,"Carlton",1,0,89,132,0.674242424242424,16
"17",2017,"Fremantle",1,0,73,115,0.634782608695652,17
"18",2017,"GWS",1,0,91,147,0.619047619047619,18
"19",2017,"Port Adelaide",2,8,255,138,1.84782608695652,1
"20",2017,"Adelaide",2,8,260,180,1.44444444444444,2
"21",2017,"Richmond",2,8,231,169,1.36686390532544,3
"22",2017,"Melbourne",2,8,206,154,1.33766233766234,4
"23",2017,"West Coast",2,8,252,190,1.32631578947368,5
"24",2017,"Essendon",2,8,227,175,1.29714285714286,6
"25",2017,"Geelong",2,8,227,184,1.23369565217391,7
"26",2017,"Footscray",2,8,210,173,1.21387283236994,8
"27",2017,"GWS",2,4,251,205,1.22439024390244,9
"28",2017,"Brisbane Lions",2,4,182,207,0.879227053140097,10
"29",2017,"Collingwood",2,0,166,199,0.834170854271357,11
"30",2017,"North Melbourne",2,0,204,248,0.82258064516129,12
"31",2017,"St Kilda",2,0,187,236,0.792372881355932,13
"32",2017,"Hawthorn",2,0,180,229,0.786026200873362,14
"33",2017,"Sydney",2,0,169,220,0.768181818181818,15
"34",2017,"Carlton",2,0,153,218,0.701834862385321,16
"35",2017,"Gold Coast",2,0,154,258,0.596899224806202,17
"36",2017,"Fremantle",2,0,129,260,0.496153846153846,18
"37",2017,"Adelaide",3,12,360,263,1.36882129277567,1
"38",2017,"Richmond",3,12,307,234,1.31196581196581,2
"39",2017,"Geelong",3,12,353,281,1.25622775800712,3
"40",2017,"Port Adelaide",3,8,338,238,1.42016806722689,4
"41",2017,"GWS",3,8,360,272,1.32352941176471,5
"42",2017,"West Coast",3,8,317,266,1.19172932330827,6
"43",2017,"Essendon",3,8,269,232,1.15948275862069,7
"44",2017,"Melbourne",3,8,303,280,1.08214285714286,8
"45",2017,"Footscray",3,8,283,262,1.08015267175573,9
"46",2017,"St Kilda",3,4,294,312,0.942307692307692,10
"47",2017,"Gold Coast",3,4,293,311,0.942122186495177,11
"48",2017,"Collingwood",3,4,246,278,0.884892086330935,12
"49",2017,"Brisbane Lions",3,4,258,314,0.821656050955414,13
"50",2017,"Carlton",3,4,210,260,0.807692307692308,14
"51",2017,"Fremantle",3,4,218,333,0.654654654654655,15
"52",2017,"Sydney",3,0,248,300,0.826666666666667,16
"53",2017,"North Melbourne",3,0,271,357,0.759103641456583,17
"54",2017,"Hawthorn",3,0,233,368,0.633152173913043,18
"55",2017,"Geelong",4,16,487,329,1.48024316109422,1
"56",2017,"Adelaide",4,16,513,351,1.46153846153846,2
"57",2017,"Richmond",4,16,426,301,1.41528239202658,3
"58",2017,"GWS",4,12,472,353,1.3371104815864,4
"59",2017,"West Coast",4,12,408,331,1.23262839879154,5
"60",2017,"Footscray",4,12,372,348,1.06896551724138,6
"61",2017,"Port Adelaide",4,8,419,350,1.19714285714286,7
"62",2017,"Melbourne",4,8,407,386,1.05440414507772,8
"63",2017,"Gold Coast",4,8,401,393,1.02035623409669,9
"64",2017,"St Kilda",4,8,363,367,0.989100817438692,10
"65",2017,"Essendon",4,8,357,385,0.927272727272727,11
"66",2017,"Fremantle",4,8,324,437,0.74141876430206,12
"67",2017,"Collingwood",4,4,301,347,0.867435158501441,13
"68",2017,"Carlton",4,4,292,368,0.793478260869565,14
"69",2017,"Brisbane Lions",4,4,325,433,0.750577367205543,15
"70",2017,"Sydney",4,0,313,391,0.800511508951407,16
"71",2017,"North Melbourne",4,0,357,446,0.800448430493274,17
"72",2017,"Hawthorn",4,0,281,502,0.559760956175299,18
"73",2017,"Adelaide",5,20,666,437,1.52402745995423,1
"74",2017,"Geelong",5,20,613,417,1.47002398081535,2
"75",2017,"Richmond",5,20,514,376,1.36702127659574,3
"76",2017,"GWS",5,16,577,416,1.38701923076923,4
"77",2017,"Footscray",5,16,494,438,1.12785388127854,5
"78",2017,"Port Adelaide",5,12,556,397,1.40050377833753,6
"79",2017,"West Coast",5,12,483,456,1.05921052631579,7
"80",2017,"Essendon",5,12,457,467,0.978586723768737,8
"81",2017,"Fremantle",5,12,391,499,0.783567134268537,9
"82",2017,"Melbourne",5,8,482,474,1.0168776371308,10
"83",2017,"St Kilda",5,8,451,493,0.914807302231237,11
"84",2017,"Gold Coast",5,8,487,546,0.891941391941392,12
"85",2017,"Collingwood",5,4,383,447,0.856823266219239,13
"86",2017,"Brisbane Lions",5,4,415,555,0.747747747747748,14
"87",2017,"Hawthorn",5,4,406,577,0.703639514731369,15
"88",2017,"Carlton",5,4,339,505,0.671287128712871,16
"89",2017,"North Melbourne",5,0,419,513,0.816764132553606,17
"90",2017,"Sydney",5,0,376,496,0.758064516129032,18
"91",2017,"Adelaide",6,24,806,501,1.60878243512974,1
"92",2017,"GWS",6,20,652,489,1.33333333333333,2
"93",2017,"Geelong",6,20,691,524,1.31870229007634,3
"94",2017,"Richmond",6,20,578,516,1.12015503875969,4
"95",2017,"Port Adelaide",6,16,706,464,1.52155172413793,5
"96",2017,"West Coast",6,16,586,518,1.13127413127413,6
"97",2017,"Footscray",6,16,567,513,1.10526315789474,7
"98",2017,"Melbourne",6,12,594,548,1.08394160583942,8
"99",2017,"St Kilda",6,12,581,548,1.06021897810219,9
"100",2017,"Essendon",6,12,531,579,0.917098445595855,10
"101",2017,"Fremantle",6,12,453,602,0.752491694352159,11
"102",2017,"Collingwood",6,8,490,525,0.933333333333333,12
"103",2017,"Gold Coast",6,8,581,653,0.889739663093415,13
"104",2017,"Carlton",6,8,436,583,0.747855917667238,14
"105",2017,"North Melbourne",6,4,526,607,0.866556836902801,15
"106",2017,"Brisbane Lions",6,4,482,705,0.683687943262411,16
"107",2017,"Hawthorn",6,4,461,707,0.652050919377652,17
"108",2017,"Sydney",6,0,454,593,0.765598650927487,18
"109",2017,"Adelaide",7,24,892,646,1.38080495356037,1
"110",2017,"GWS",7,20,737,597,1.23450586264657,2
"111",2017,"Geelong",7,20,790,648,1.21913580246914,3
"112",2017,"West Coast",7,20,683,605,1.12892561983471,4
"113",2017,"Footscray",7,20,647,588,1.10034013605442,5
"114",2017,"Richmond",7,20,653,596,1.09563758389262,6
"115",2017,"Port Adelaide",7,16,793,561,1.41354723707665,7
"116",2017,"St Kilda",7,16,689,633,1.08846761453397,8
"117",2017,"Fremantle",7,16,569,681,0.83553597650514,9
"118",2017,"Melbourne",7,12,685,642,1.06697819314642,10
"119",2017,"Gold Coast",7,12,705,752,0.9375,11
"120",2017,"Essendon",7,12,610,695,0.877697841726619,12
"121",2017,"Carlton",7,12,515,639,0.805946791862285,13
"122",2017,"North Melbourne",7,8,671,693,0.968253968253968,14
"123",2017,"Collingwood",7,8,546,604,0.903973509933775,15
"124",2017,"Hawthorn",7,8,555,798,0.695488721804511,16
"125",2017,"Sydney",7,4,589,674,0.873887240356083,17
"126",2017,"Brisbane Lions",7,4,563,840,0.670238095238095,18
"127",2017,"Adelaide",8,24,958,753,1.27224435590969,1
"128",2017,"GWS",8,24,839,696,1.20545977011494,2
"129",2017,"West Coast",8,24,752,666,1.12912912912913,3
"130",2017,"Port Adelaide",8,20,903,599,1.50751252086811,4
"131",2017,"Geelong",8,20,883,758,1.16490765171504,5
"132",2017,"St Kilda",8,20,774,699,1.10729613733906,6
"133",2017,"Richmond",8,20,723,668,1.08233532934132,7
"134",2017,"Footscray",8,20,708,657,1.07762557077626,8
"135",2017,"Fremantle",8,20,641,751,0.85352862849534,9
"136",2017,"Melbourne",8,16,792,708,1.11864406779661,10
"137",2017,"Essendon",8,16,720,788,0.913705583756345,11
"138",2017,"Gold Coast",8,12,743,862,0.861948955916473,12
"139",2017,"Carlton",8,12,581,724,0.802486187845304,13
