,year,round,team,score
0,2019,1,Carlton,64
1,2019,1,Collingwood,65
2,2019,1,Melbourne,61
3,2019,1,Adelaide Crows,55
4,2019,1,Western Bulldogs,82
5,2019,1,Brisbane Lions,102
6,2019,1,St Kilda,85
7,2019,1,GWS Giants,112
8,2019,1,Fremantle,141
9,2019,2,Richmond,66
10,2019,2,Sydney Swans,62
11,2019,2,Essendon,65
12,2019,2,Port Adelaide,88
13,2019,2,Geelong Cats,126
14,2019,2,West Coast Eagles,104
15,2019,2,North Melbourne,87
16,2019,2,Hawthorn,87
17,2019,2,Gold Coast Suns,61
18,2019,3,Adelaide Crows,75
19,2019,3,Melbourne,112
20,2019,3,Carlton,74
21,2019,3,GWS Giants,125
22,2019,3,Brisbane Lions,107
23,2019,3,Collingwood,76
24,2019,3,Western Bulldogs,68
25,2019,3,Hawthorn,87
26,2019,3,Fremantle,71
27,2019,4,Sydney Swans,78
28,2019,4,Collingwood,78
29,2019,4,Geelong Cats,75
30,2019,4,Essendon,112
31,2019,4,Port Adelaide,92
32,2019,4,North Melbourne,71
33,2019,4,West Coast Eagles,69
34,2019,4,Gold Coast Suns,59
35,2019,4,St Kilda,74
36,2019,5,Brisbane Lions,61
37,2019,5,North Melbourne,58
38,2019,5,West Coast Eagles,53
39,2019,5,GWS Giants,82
40,2019,5,Melbourne,55
41,2019,5,Richmond,89
42,2019,5,Western Bulldogs,57
43,2019,5,Adelaide Crows,119
44,2019,5,Hawthorn,90
45,2019,6,Richmond,85
46,2019,6,Essendon,69
47,2019,6,Port Adelaide,88
48,2019,6,Gold Coast Suns,62
49,2019,6,St Kilda,68
50,2019,6,Sydney Swans,79
51,2019,6,Fremantle,88
52,2019,6,Hawthorn,93
53,2019,6,Geelong Cats,104
54,2019,7,Collingwood,108
55,2019,7,Melbourne,79
56,2019,7,GWS Giants,114
57,2019,7,Brisbane Lions,103
58,2019,7,Western Bulldogs,99
59,2019,7,West Coast Eagles,80
60,2019,7,Carlton,62
61,2019,7,Geelong Cats,86
62,2019,7,Adelaide Crows,51
63,2019,8,Sydney Swans,77
64,2019,8,Western Bulldogs,92
65,2019,8,Carlton,87
66,2019,8,Gold Coast Suns,60
67,2019,8,St Kilda,70
68,2019,8,Port Adelaide,68
69,2019,8,North Melbourne,80
70,2019,8,Hawthorn,71
71,2019,8,Fremantle,86
72,2019,9,West Coast Eagles,85
73,2019,9,Collingwood,112
74,2019,9,Brisbane Lions,93
75,2019,9,Geelong Cats,133
76,2019,9,Essendon,60
77,2019,9,North Melbourne,72
78,2019,9,Port Adelaide,89
79,2019,9,Richmond,95
80,2019,9,GWS Giants,138
81,2019,10,Sydney Swans,73
82,2019,10,Hawthorn,80
83,2019,10,Western Bulldogs,90
84,2019,10,Adelaide Crows,73
85,2019,10,Gold Coast Suns,64
86,2019,10,Richmond,73
87,2019,10,Melbourne,68
88,2019,10,St Kilda,68
89,2019,10,Fremantle,73
90,2019,11,North Melbourne,99
91,2019,11,Collingwood,75
92,2019,11,GWS Giants,126
93,2019,11,Geelong Cats,85
94,2019,11,Brisbane Lions,85
95,2019,11,Melbourne,88
96,2019,11,St Kilda,69
97,2019,11,Essendon,74
98,2019,11,West Coast Eagles,133
99,2019,12,Richmond,37
100,2019,12,Carlton,78
101,2019,12,Gold Coast Suns,72
102,2019,12,Adelaide Crows,82
103,2019,12,Sydney Swans,116
104,2019,12,Collingwood,98
105,2019,13,Adelaide Crows,101
106,2019,13,Essendon,96
107,2019,13,Gold Coast Suns,76
108,2019,13,Fremantle,100
109,2019,13,Carlton,100
110,2019,13,North Melbourne,68
111,2019,14,West Coast Eagles,106
112,2019,14,Sydney Swans,82
113,2019,14,Melbourne,85
114,2019,14,St Kilda,59
115,2019,14,Port Adelaide,67
116,2019,14,Western Bulldogs,73
117,2019,15,Essendon,77
118,2019,15,Geelong Cats,96
119,2019,15,Hawthorn,71
120,2019,15,Sydney Swans,93
121,2019,15,Collingwood,37
122,2019,15,Port Adelaide,41
123,2019,15,St Kilda,70
124,2019,15,Brisbane Lions,107
125,2019,15,Fremantle,75
126,2019,16,Hawthorn,67
127,2019,16,Essendon,76
128,2019,16,Gold Coast Suns,58
129,2019,16,Adelaide Crows,44
130,2019,16,Western Bulldogs,71
131,2019,16,Fremantle,31
132,2019,16,Carlton,100
133,2019,16,North Melbourne,112
134,2019,16,GWS Giants,74
135,2019,17,West Coast Eagles,77
136,2019,17,Sydney Swans,62
137,2019,17,Hawthorn,84
138,2019,17,Essendon,86
139,2019,17,Gold Coast Suns,56
140,2019,17,Geelong Cats,84
141,2019,17,Richmond,94
142,2019,17,Western Bulldogs,74
143,2019,17,Port Adelaide,49
144,2019,18,Adelaide Crows,75
145,2019,18,Richmond,101
146,2019,18,Carlton,99
147,2019,18,GWS Giants,122
148,2019,18,Brisbane Lions,87
149,2019,18,Fremantle,52
150,2019,18,Geelong Cats,61
151,2019,18,Melbourne,78
152,2019,18,St Kilda,116
153,2019,19,Collingwood,66
154,2019,19,Hawthorn,60
155,2019,19,Carlton,87
156,2019,19,West Coast Eagles,121
157,2019,19,St Kilda,104
158,2019,19,Port Adelaide,55
159,2019,19,Western Bulldogs,113
160,2019,19,Sydney Swans,80
161,2019,19,Gold Coast Suns,96
162,2019,20,North Melbourne,86
163,2019,20,Essendon,67
164,2019,20,GWS Giants,83
165,2019,20,Fremantle,95
166,2019,20,Melbourne,60
167,2019,20,Adelaide Crows,92
168,2019,20,Collingwood,120
169,2019,20,Carlton,75
170,2019,20,Brisbane Lions,98
171,2019,21,GWS Giants,29
172,2019,21,Melbourne,53
173,2019,21,Port Adelaide,103
