,season,round.roundNumber,team.name,player.field.position,kicks,handballs,disposals,marks,bounces,tackles,contestedPossessions,uncontestedPossessions,totalPossessions,inside50s,marksInside50,contestedMarks,hitouts,onePercenters,disposalEfficiency,clangers,freesFor,freesAgainst,rebound50s,goalAssists,turnovers,intercepts,tacklesInside50,shotsAtGoal,scoreInvolvements,metresGained,clearances.centreClearances,clearances.stoppageClearances,clearances.totalClearances,extendedStats.effectiveKicks,extendedStats.kickToHandballRatio,extendedStats.effectiveDisposals,extendedStats.marksOnLead,extendedStats.interceptMarks,extendedStats.hitoutsToAdvantage,extendedStats.groundBallGets,extendedStats.f50GroundBallGets,extendedStats.scoreLaunches,extendedStats.pressureActs,extendedStats.defHalfPressureActs,extendedStats.spoils,extendedStats.ruckContests,extendedStats.contestDefOneOnOnes,extendedStats.contestDefLosses,extendedStats.contestOffOneOnOnes,extendedStats.contestOffWins,extendedStats.centreBounceAttendances,extendedStats.kickins,extendedStats.kickinsPlayon
0,2019,1,Adelaide Crows,DEF,64,50,114,23,0,12,41,75,116,8,0,4,0,23,444.1,20,5,1,20,0,32,39,1,1,8,1786,0,2,2,39,8.7,81,0,10,0,30,2,4,67,41,20,0,10,3,1,0,0.0,0.0,0.0
1,2019,1,Adelaide Crows,FWD,64,37,101,30,1,10,41,61,102,26,3,4,4,8,376.2,17,6,6,4,1,20,7,6,11,28,1633,2,3,5,36,14.1,63,3,1,1,28,13,3,91,18,5,14,0,0,10,1,0.0,0.0,0.0
2,2019,1,Adelaide Crows,MID,72,91,163,26,2,23,70,88,158,17,3,1,31,15,435.6,13,8,2,15,2,26,27,0,7,30,1951,8,21,29,46,5.1,120,0,4,11,53,6,10,108,59,11,69,6,1,3,0,0.0,0.0,0.0
3,2019,1,Adelaide Crows,Other,29,32,61,12,0,13,20,40,60,7,2,2,0,10,259.7,10,1,2,2,2,18,13,0,2,11,664,2,2,4,18,3.8,41,1,3,0,14,2,1,51,22,8,0,2,0,3,0,0.0,0.0,0.0
4,2019,1,Brisbane Lions,DEF,76,37,113,38,1,6,36,70,106,6,0,2,0,36,500.3,19,5,8,21,1,14,38,0,1,15,1670,0,3,3,60,20.4,96,1,4,0,27,0,5,30,27,32,0,13,2,0,0,0.0,0.0,0.0
5,2019,1,Brisbane Lions,FWD,53,23,76,17,0,16,41,36,77,15,7,4,0,5,363.8,22,5,12,8,2,25,11,6,17,30,1532,0,8,8,31,10.2,46,4,1,0,29,10,6,67,21,3,14,0,0,9,3,0.0,0.0,0.0
6,2019,1,Brisbane Lions,MID,67,66,133,13,3,29,63,72,135,27,1,0,18,8,448.2,15,12,5,4,7,19,17,9,9,43,1946,9,17,26,44,7.6,100,0,1,5,41,7,12,97,37,2,47,0,0,2,1,0.0,0.0,0.0
7,2019,1,Brisbane Lions,Other,36,24,60,15,1,5,21,41,62,8,0,1,18,6,290.6,13,1,6,7,0,12,7,2,4,13,1090,3,4,7,27,9.4,44,0,1,12,15,6,4,36,14,5,38,2,0,3,0,0.0,0.0,0.0
8,2019,1,Carlton,DEF,65,34,99,28,0,17,34,58,92,5,0,4,0,31,481.3,13,8,5,21,1,12,42,0,1,17,1589,0,4,4,52,20.4,81,0,12,0,19,0,7,63,55,23,0,19,4,0,0,0.0,0.0,0.0
9,2019,1,Carlton,FWD,60,39,99,31,1,11,37,65,102,18,3,0,0,1,388.0,25,4,5,2,3,26,4,6,9,30,1559,2,7,9,31,15.5,63,1,0,0,29,9,4,63,10,0,0,0,0,7,1,0.0,0.0,0.0
